# THALASSA - ORBITAL ELEMENTS                                                                                                                                                                           
#================================================================================================================================================================                                       
#                  MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]                                        
 5.904300000000000E+04, 6.628000000000000E+03, 1.181503270665801E-16, 0.000000000000000E+00, 0.000000000000000E+00, 0.000000000000000E+00, 0.000000000000000E+00
 5.904400000000000E+04, 6.626778713984913E+03, 1.049284841898213E-03, 9.848048632265339E-05, 7.809583084216310E+01, 3.958430873179204E+01, 2.925833034825393E+02
 5.904500000000000E+04, 6.625534325843147E+03, 1.994559611596464E-03, 2.318604646295932E-04, 7.001908194893379E+01, 7.833547181723993E+01, 3.139141193842622E+02
 5.904600000000000E+04, 6.624064340180827E+03, 2.649662461852499E-03, 3.996481516347684E-04, 6.547181117337168E+01, 1.149817949775720E+02, 3.356249222553645E+02
 5.904700000000000E+04, 6.622603453389313E+03, 2.895966439135538E-03, 5.981517692611585E-04, 6.301241658910192E+01, 1.503894646108934E+02, 3.583589629905293E+02
 5.904800000000000E+04, 6.621209650940275E+03, 2.660022987327845E-03, 8.174622960030881E-04, 6.239890324444885E+01, 1.856744863777165E+02, 2.131809227988172E+01
 5.904900000000000E+04, 6.619551694249889E+03, 1.896865599734124E-03, 1.036117902291485E-03, 6.292572160702023E+01, 2.221422550149619E+02, 4.398223990333970E+01
 5.905000000000000E+04, 6.617848205370442E+03, 7.662841309889932E-04, 1.238100435260786E-03, 6.385028899142808E+01, 2.668052442995451E+02, 6.016688382631807E+01
 5.905100000000000E+04, 6.616272565791056E+03, 6.385268168641412E-04, 1.408985211884227E-03, 6.496662452417686E+01, 8.562609750268473E+01, 3.042126049131865E+02
 5.905200000000000E+04, 6.614414754957606E+03, 1.819826584224084E-03, 1.530819242879542E-03, 6.575572656975045E+01, 1.380935769558987E+02, 3.172536096473138E+02
 5.905300000000000E+04, 6.612557362801630E+03, 2.578949629837722E-03, 1.602076388774004E-03, 6.553548440409418E+01, 1.811543606689961E+02, 3.431381656429631E+02
 5.905400000000000E+04, 6.610674024461165E+03, 2.647601535588861E-03, 1.629563385035704E-03, 6.384681216269957E+01, 2.268157822892237E+02, 1.044690052147074E+01
 5.905500000000000E+04, 6.608431481630078E+03, 1.901240540152369E-03, 1.634485148833741E-03, 6.010643107564364E+01, 2.780419402513840E+02, 3.693646193445894E+01
 5.905600000000000E+04, 6.606336433857789E+03, 6.523297424021463E-04, 1.648305493219980E-03, 5.445676552850621E+01, 3.566846915052810E+02, 4.076924616808940E+01
 5.905700000000000E+04, 6.603906256449689E+03, 1.137082784862084E-03, 1.698218666078185E-03, 4.741508648255597E+01, 1.699181768135085E+02, 3.144305776890571E+02
 5.905800000000000E+04, 6.601492040550926E+03, 2.264341731052605E-03, 1.801092319634187E-03, 4.047398511192233E+01, 2.371808541888866E+02, 3.371861245937776E+02
 5.905900000000000E+04, 6.598781692699867E+03, 2.489977714492197E-03, 1.937159347583170E-03, 3.451793848456319E+01, 2.990017339833256E+02, 7.851938404668179E+00
 5.906000000000000E+04, 6.595889220632564E+03, 1.630514985213459E-03, 2.084355426430282E-03, 3.008413804687961E+01, 6.120287707183920E+00, 3.540785815769125E+01
 5.906100000000000E+04, 6.592724334299032E+03, 6.114426171997776E-04, 2.203789735684783E-03, 2.681945408450477E+01, 1.503562559650506E+02, 3.486933123061741E+02
 5.906200000000000E+04, 6.589368484294499E+03, 1.854536385324679E-03, 2.275838832039491E-03, 2.437371751306647E+01, 2.683767388859207E+02, 3.317557657790716E+02
 5.906300000000000E+04, 6.585455109579760E+03, 2.343203996222222E-03, 2.286067382764888E-03, 2.211677587676308E+01, 3.421250872166610E+02, 3.755442346739301E+00
 5.906400000000000E+04, 6.581207132536081E+03, 1.445990612413326E-03, 2.233921709064061E-03, 1.959448204559226E+01, 6.784261892355767E+01, 2.951752961929865E+01
 5.906500000000000E+04, 6.576004295856221E+03, 1.056517565585691E-03, 2.133189292288627E-03, 1.638552205818449E+01, 2.402640130709803E+02, 3.355771065593273E+02
 5.906600000000000E+04, 6.569907619826314E+03, 2.117942952283027E-03, 2.003655594752679E-03, 1.202014847340099E+01, 3.516657665813088E+02, 3.513268079462682E+02
 5.906700000000000E+04, 6.561952544409069E+03, 1.592894140100728E-03, 1.865574345576107E-03, 6.287754990614536E+00, 1.018073820520921E+02, 1.910837884875446E+01
 5.906800000000000E+04, 6.549524182597992E+03, 1.335906085738542E-03, 1.743477071428343E-03, 3.592847695129189E+02, 2.881631470789605E+02, 3.453216731300151E+02
 5.906900000000000E+04, 6.508341442853933E+03, 1.579789314583599E-03, 1.653471483834817E-03, 3.513140022052771E+02, 1.058312887284448E+02, 3.474933096739569E+02
 5.906900072132915E+04, 6.508122800698308E+03, 1.572746323701223E-03, 1.653501902060446E-03, 3.513030157835334E+02, 1.102942473701797E+02, 3.473486660898368E+02
