# THALASSA - STATISTICS                                                                                                                                                                                                             
#===================================================================================================================================================================================================================================
#    CALLS      STEPS                    TOL               CPUT [s]                    MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]
    125083      60652  1.000000000000000E-13  1.629000000000000E+00  5.906900072132915E+04  6.508122800698308E+03  1.572746323701223E-03  1.653501902060446E-03  3.513030157835334E+02  1.102942473701797E+02  3.473486660898368E+02
    125083      60652  1.000000000000000E-13  1.314000000000000E+00  5.906900072132915E+04  6.508122800698308E+03  1.572746323701223E-03  1.653501902060446E-03  3.513030157835334E+02  1.102942473701797E+02  3.473486660898368E+02
    125083      60652  1.000000000000000E-13  1.452000000000000E+00  5.906900072132915E+04  6.508122800698308E+03  1.572746323701223E-03  1.653501902060446E-03  3.513030157835334E+02  1.102942473701797E+02  3.473486660898368E+02
